,Name,Market Cap,Top 10 Holders %,Avg Active Wallets,Top 50 Holders %,Symbol
62,Trust Wallet Token,"$610,297,102",90.61%,,95.81%,TWT
63,Flow,"$748,420,014",83.86%,,97.13%,FLOW
64,Enjin Coin,"$248,424,895",38.96%,,59.44%,ENJ
65,Litecoin,"$5,428,148,658",14.49%,,28.42%,LTC
66,Klaytn,"$470,469,560",14.49%,,28.42%,KLAY
67,Fei USD,"$424,408,863",87.24%,,98.48%,FEI
68,Cosmos,"$2,824,180,280",83.47999999999999%,,95.61%,ATOM
69,PAX Gold,"$498,055,463",31.22%,,52.83%,PAXG
70,DogeTrend,- -,31.22%,,52.83%,DOGETREND
71,Cardano,"$8,718,814,488",31.22%,,52.83%,ADA
72,ApeCoin,"$12,458",81.45%,,94.07%,APE
73,EthereumPoW,"$12,458",81.45%,,94.07%,APE
74,Balancer,"$247,753,921",73.58%,,86.85%,BAL
75,Uniswap,"$4,079,899,686",52.69%,,74.31%,UNI
76,Tether,"$66,253,284,425",25.41%,,39.61%,USDT
77,Avalanche,"$3,487,732,819",25.41%,,39.61%,AVAX
78,Holo,"$251,954,218",45.92%,,60.4%,HOT
79,THORChain,"$430,557,453",45.92%,,60.4%,RUNE
80,USD Coin,"$44,724,720,739",20.01%,,33.52%,USDC
81,Shiba Inu,"$4,483,895,986",62.71%,,78.75%,SHIB
82,The Graph,"$519,407,364",57.62%,,74.06%,GRT
83,Bitcoin SV,"$810,053,156",13.77%,,23.21%,BSV
84,PancakeSwap,"$514,513,743",13.77%,,23.21%,CAKE
85,BitDAO,"$789,327,927",88.7%,,99.01%,BIT
86,XDC Network,"$789,327,927",88.7%,,99.01%,BIT
87,The Sandbox,"$613,224,648",78.76%,,91.08%,SAND
88,BitTorrent-New,"$595,053,858",99.00999999999999%,,99.42999999999999%,BTT
89,Level Finance,"$103,706",99.00999999999999%,,99.42999999999999%,LVL
90,Pax Dollar,"$103,706",99.00999999999999%,,99.42999999999999%,LVL
91,MultiversX (Elrond),"$103,706",99.00999999999999%,,99.42999999999999%,LVL
92,Cronos,"$1,456,631,044",93.98%,,96.63%,CRO
93,NEAR Protocol,"$1,119,880,138",93.98%,,96.63%,NEAR
94,IOTA,"$503,769,670",93.98%,,96.63%,MIOTA
95,ImmutableX,"$503,769,670",93.98%,,96.63%,MIOTA
96,Kabosu Inu,- -,17.54%,,52.67%,KABOSU INU
97,Celo,"$237,170,581",17.54%,,52.67%,CELO
98,Stellar,"$1,931,965,409",17.54%,,52.67%,XLM
99,Solana,"$4,324,663,675",17.54%,,52.67%,SOL
100,GMX,"$353,193,300",17.54%,,52.67%,GMX
101,NEM,"$263,857,385",17.54%,,52.67%,XEM
102,UNUS SED LEO,"$3,365,340,734",99.86%,,99.89%,LEO
